No,1st_component_atom_number,1st_component_element_fraction,2nd_component_atom_number,2nd_component_element_fraction,3rd_component_atom_number,3rd_component_element_fraction,Morphology,Phase,pH,Electrode,Overpotential_mV,Ref
1,28,0.971,74,0.029,0,0.0,2,2,13.6,1,237,1
2,28,0.971,74,0.029,0,0.0,1,2,13.6,1,264,1
3,28,0.75,26,0.125,23,0.125,1,2,13.6,3,200,2
4,27,0.664,26,0.332,44,0.004,1,1,13.6,3,198,3
5,27,0.666,26,0.334,0,0.0,1,1,13.6,3,310,3
6,27,0.75,26,0.25,0,0.0,1,1,13.0,1,348,4
7,28,0.75,26,0.25,0,0.0,1,1,13.0,1,404,4
8,26,0.596,28,0.397,44,0.007,2,0,13.6,1,276,5
9,28,0.663,26,0.332,44,0.005,2,0,13.6,1,207,5
10,28,0.833,26,0.167,0,0.0,1,1,13.6,1,235,6
11,26,0.52,28,0.431,27,0.049,1,1,13.6,3,239,7
12,28,0.75,26,0.125,23,0.125,1,1,13.6,2,231,8
13,27,0.4,74,0.4,26,0.1,7,0,13.6,2,250,9
14,23,0.748,28,0.187,44,0.065,1,1,13.6,2,190,10
15,23,0.77,28,0.193,44,0.037,1,1,13.6,2,180,10
16,23,0.8,28,0.2,0,0.0,1,1,13.6,2,200,10
17,28,0.73,26,0.266,79,0.004,1,1,13.6,5,237,11
18,28,0.6,26,0.4,0,0.0,1,1,13.6,1,227,12
19,28,0.921,77,0.079,0,0.0,2,0,13.6,3,215,13
20,28,0.992,77,0.008,0,0.0,2,0,13.6,3,338,13
21,28,0.954,77,0.046,0,0.0,2,0,13.6,3,257,13
22,26,0.5,34,0.5,0,0.0,1,0,13.6,4,287,14
23,28,0.9,26,0.05,42,0.05,1,0,13.6,2,240,15
24,27,0.8,30,0.2,0,0.0,1,0,13.6,1,235,16
25,27,0.505,26,0.495,0,0.0,1,0,13.0,1,308,17
26,28,0.75,26,0.25,0,0.0,1,4,13.6,2,215,18
27,28,0.6,27,0.4,0,0.0,1,1,13.0,2,420,19
28,13,0.765,26,0.16,28,0.075,1,3,13.0,1,275,20
29,26,0.447,15,0.333,28,0.22,1,0,13.6,2,260,21
30,28,1.0,0,0.0,0,0.0,1,1,13.6,2,170,22
31,28,0.5,26,0.5,0,0.0,1,1,13.6,7,199,23
32,28,0.5,26,0.5,0,0.0,1,0,13.6,2,208,24
33,28,0.667,26,0.222,25,0.111,1,0,13.6,3,262,25
34,28,0.667,15,0.333,0,0.0,1,0,13.6,2,290,26
35,26,0.628,16,0.213,27,0.159,1,0,13.6,1,270,27
36,28,0.727,27,0.182,26,0.091,1,1,13.6,1,224,28
37,28,0.909,26,0.091,0,0.0,1,1,13.6,1,242,28
38,28,0.818,27,0.091,26,0.091,1,1,13.6,1,232,28
39,28,0.6,26,0.4,0,0.0,4,0,13.0,6,280,29
40,28,0.9,26,0.1,0,0.0,4,0,13.6,6,336,30
41,28,0.88,26,0.12,0,0.0,4,0,13.6,6,280,31
42,28,0.8,26,0.2,0,0.0,5,1,13.6,1,215,32
43,28,0.78,26,0.22,0,0.0,1,1,13.6,3,280,33
44,28,0.764,26,0.227,78,0.006,1,1,13.6,3,260,33
45,28,0.75,26,0.25,0,0.0,2,1,13.6,1,300,34
46,27,0.67,28,0.33,0,0.0,2,1,13.6,1,335,34
47,28,1.0,0,0.0,0,0.0,2,1,13.6,1,350,34
48,3,0.5,27,0.25,26,0.25,1,0,13.0,3,350,35
49,3,0.5,28,0.165,27,0.165,1,0,13.0,3,300,35
50,27,0.67,28,0.33,0,0.0,1,0,13.6,0,360,36
51,27,0.67,28,0.33,0,0.0,5,1,13.6,0,400,36
52,27,0.726,28,0.183,26,0.091,1,1,13.6,3,280,37
53,27,0.8,28,0.2,0,0.0,1,1,13.6,3,330,37
54,28,0.611,26,0.204,13,0.185,1,1,13.6,2,300,38
55,28,0.569,13,0.241,26,0.19,1,1,13.6,2,323,38
56,28,0.445,13,0.406,26,0.149,1,1,13.6,2,327,38
57,28,0.5,25,0.5,0,0.0,1,1,13.6,1,420,39
58,28,0.75,25,0.25,0,0.0,1,1,13.6,1,350,39
59,28,0.767,23,0.127,26,0.106,1,1,13.6,2,192,40
60,28,0.83,26,0.17,0,0.0,1,0,13.6,1,245,41
61,28,0.95,58,0.05,0,0.0,5,0,13.6,6,271,42
62,28,0.678,26,0.315,78,0.007,1,1,13.6,1,230,43
63,28,0.75,23,0.25,0,0.0,2,1,13.6,1,218,44
64,28,0.75,27,0.25,0,0.0,2,1,13.6,1,347,44
65,28,0.75,23,0.25,0,0.0,2,1,13.6,2,300,44
66,28,0.615,22,0.385,0,0.0,1,0,13.6,1,320,45
67,15,0.6,27,0.2,25,0.2,6,0,13.6,4,288,46
68,25,1.0,0,0.0,0,0.0,6,0,13.6,4,408,46
69,15,0.75,27,0.25,0,0.0,0,0,13.6,4,322,46
70,27,0.4,26,0.3,23,0.3,5,0,13.6,1,307,47
71,27,0.6,26,0.4,0,0.0,4,0,13.6,3,283,48
72,26,0.67,27,0.33,0,0.0,5,0,13.6,1,314,49
73,27,0.67,30,0.33,0,0.0,2,0,13.6,1,324,50
74,27,0.67,28,0.33,0,0.0,2,0,13.6,1,338,50
75,27,0.67,3,0.33,0,0.0,2,0,13.6,1,340,51
76,27,0.375,26,0.368,74,0.257,5,4,13.6,1,223,52
77,27,0.375,26,0.368,74,0.257,5,4,13.6,6,191,52
78,27,0.5,26,0.5,0,0.0,2,1,13.6,2,232,53
79,28,0.5,26,0.5,0,0.0,2,3,13.6,1,280,54
80,27,1.0,0,0.0,0,0.0,2,0,13.6,1,300,55
81,28,0.75,26,0.25,0,0.0,5,0,13.6,3,230,56
82,27,1.0,0,0.0,0,0.0,6,0,13.6,1,293,57
83,26,0.409,28,0.364,27,0.227,6,0,13.6,6,400,58
84,34,0.666,28,0.167,26,0.167,5,0,13.6,3,280,59
85,27,0.667,24,0.333,0,0.0,1,1,13.0,1,340,60
86,27,0.667,25,0.333,0,0.0,2,1,13.6,1,324,61
87,27,0.741,26,0.259,0,0.0,0,1,13.0,1,350,62
88,27,0.54,26,0.46,0,0.0,6,0,13.0,1,390,63
